symptoms,disease,dosha,remedy,yoga
headache,Migraine,Pitta,Apply sandalwood paste on forehead; drink coriander tea; avoid spicy food,Shavasana and Anulom Vilom pranayama
fever,Viral Fever,Pitta,Tulsi and ginger decoction; rest; light diet; stay hydrated,Gentle Shavasana; avoid vigorous practice
cold,Common Cold,Kapha,Ginger honey lemon tea; steam inhalation with eucalyptus; avoid cold foods,Kapalbhati pranayama; Surya Namaskar
cough,Bronchitis,Kapha,Licorice root tea; honey with black pepper; avoid dairy,Bhujangasana; Pranayama breathing exercises
fatigue,Chronic Fatigue,Vata,Ashwagandha milk; sesame oil massage; warm nourishing foods,Yoga Nidra; gentle Hatha yoga
joint pain,Arthritis,Vata,Warm sesame oil massage; turmeric milk; avoid cold and dry foods,Gentle joint rotations; Tadasana; Vrikshasana
indigestion,Gastritis,Pitta,Fennel and coriander tea; avoid spicy oily food; eat cooling foods,Pavanamuktasana; Vajrasana after meals
anxiety,Anxiety Disorder,Vata,Brahmi and ashwagandha; warm milk with nutmeg; grounding routine,Nadi Shodhana pranayama; Balasana; Yoga Nidra
insomnia,Insomnia,Vata,Warm sesame oil foot massage; chamomile tea; regular sleep schedule,Yoga Nidra; Shavasana; Legs-up-the-wall pose
skin rash,Eczema,Pitta,Neem paste application; coconut oil; avoid heat and spicy food,Cooling pranayama; Shavasana; avoid hot yoga
weight gain,Obesity,Kapha,Trikatu herbal blend; light warm meals; avoid heavy oily food,Surya Namaskar; Kapalbhati; Trikonasana
weight loss,Malnutrition,Vata,Sesame oil massage; warm heavy foods; ashwagandha; regular meals,Gentle Hatha yoga; Balasana; Viparita Karani
back pain,Lumbar Spondylosis,Vata,Warm sesame oil massage; turmeric milk; avoid cold damp environments,Bhujangasana; Setu Bandhasana; Balasana
chest pain,Angina,Pitta,Arjuna bark tea; avoid stress and spicy food; cooling diet,Shavasana; gentle Pranayama; avoid strenuous poses
diarrhea,Irritable Bowel Syndrome,Pitta,Pomegranate juice; buttermilk with cumin; avoid spicy food,Pavanamuktasana; Vajrasana; gentle twists
constipation,Chronic Constipation,Vata,Triphala at bedtime; warm water with ghee; high-fiber diet,Pawanmuktasana; Malasana; Trikonasana
nausea,Gastroenteritis,Pitta,Ginger and mint tea; light rice gruel; avoid heavy meals,Shavasana; gentle Pranayama; avoid inversions
hair loss,Alopecia,Vata,Bhringraj oil scalp massage; amla juice; protein-rich diet,Sirsasana (headstand); Adho Mukha Svanasana
memory loss,Cognitive Decline,Vata,Brahmi ghee; shankhpushpi; meditation; regular sleep,Meditation; Nadi Shodhana; Bhramari pranayama
stress,Stress Disorder,Pitta,Brahmi and ashwagandha; cooling diet; avoid overwork,Shavasana; Nadi Shodhana; Yoga Nidra
bloating,Flatulence,Vata,Ajwain water; warm ginger tea; avoid gas-forming foods,Pavanamuktasana; Apanasana; gentle twists
acne,Acne Vulgaris,Pitta,Neem face wash; turmeric paste; avoid oily spicy food,Cooling pranayama; Shavasana; Sarvangasana
diabetes,Type 2 Diabetes,Kapha,Bitter gourd juice; fenugreek seeds; low-sugar diet,Mandukasana; Kapalbhati; Surya Namaskar
hypertension,Hypertension,Pitta,Arjuna bark tea; avoid salt and stress; cooling diet,Shavasana; Nadi Shodhana; Bhramari pranayama
asthma,Bronchial Asthma,Kapha,Sitopaladi churna; honey with ginger; avoid cold damp,Pranayama; Bhujangasana; Matsyasana
thyroid,Hypothyroidism,Kapha,Kanchanar guggulu; iodine-rich foods; avoid goitrogens,Sarvangasana; Halasana; Ujjayi pranayama
depression,Clinical Depression,Vata,Brahmi and shatavari; warm nourishing food; social support,Surya Namaskar; Bhramari; Yoga Nidra
urinary infection,Urinary Tract Infection,Pitta,Coriander seed water; coconut water; avoid spicy food,Baddha Konasana; Shavasana; gentle Pranayama
knee pain,Osteoarthritis,Vata,Warm sesame oil massage; turmeric milk; avoid cold,Virabhadrasana; Tadasana; gentle knee rotations
sinusitis,Sinusitis,Kapha,Nasya oil therapy; steam inhalation; avoid cold food,Kapalbhati; Bhujangasana; Surya Namaskar
